count,geometry,,,
2,<Point,<coordinates,"-0.138239,51.513644",/coordinates
1,<Point,<coordinates,"-0.138272,51.513711",/coordinates
5,<Point,<coordinates,"-0.138083,51.514061",/coordinates
3,<Point,<coordinates,"-0.137912,51.514748",/coordinates
2,<Point,<coordinates,"-0.137707,51.514794",/coordinates
3,<Point,<coordinates,"-0.137108,51.514526",/coordinates
2,<Point,<coordinates,"-0.137065,51.514706",/coordinates
1,<Point,<coordinates,"-0.138474,51.512311",/coordinates
1,<Point,<coordinates,"-0.138123,51.511998",/coordinates
1,<Point,<coordinates,"-0.137762,51.511856",/coordinates
-999,<Point,<coordinates,"-0.136668,51.513341",/coordinates
-999,<Point,<coordinates,"-0.139586,51.513876",/coordinates
-999,<Point,<coordinates,"-0.139671,51.514906",/coordinates
-999,<Point,<coordinates,"-0.13163,51.512354",/coordinates
-999,<Point,<coordinates,"-0.133594,51.512139",/coordinates
-999,<Point,<coordinates,"-0.135919,51.511542",/coordinates
-999,<Point,<coordinates,"-0.133962,51.510019",/coordinates
-999,<Point,<coordinates,"-0.138199,51.511295",/coordinates
